fen,moves,rating,themes
8/8/4R1p1/8/3P1P1P/5kPK/8/2r5 w - - 1 46,e6g6 c1h1,494,endgame mate mateIn1 oneMove rookEndgame
1Nq4k/ppr3pp/8/3n1p2/P1QP4/1R2P3/5PPP/1R4K1 w - - 1 24,c4d5 c7c1 b1c1 c8c1,466,backRankMate endgame mate mateIn2 short
r5k1/pbpn1pp1/1p2p1qp/1P6/2PP4/P6P/5PPN/R2Q1RK1 w - - 3 18,a3a4 g6g2,492,kingsideAttack mate mateIn1 middlegame oneMove
8/6pk/p2Q2b1/1p5n/7P/4B3/PPr5/K5q1 w - - 0 36,e3g1 c2c1,480,backRankMate endgame mate mateIn1 oneMove
4r2k/b1p3pp/2p3b1/3P4/PB1P2q1/2P2N2/2Q3PP/R3R2K b - - 0 26,g6c2 e1e8,470,backRankMate hangingPiece mate mateIn1 middlegame oneMove
8/p7/1p6/3N1k2/7p/2P5/PP2R1PK/1r6 w - - 4 53,h2h3 b1h1,461,endgame master mate mateIn1 oneMove
r1b2rk1/3n1pp1/1ppqp2p/p7/3PQ3/3B1N1P/PPP2PP1/R3R1K1 b - - 0 14,c8b7 e4h7,454,mate mateIn1 middlegame oneMove
r4rk1/pbqp1pbp/1p2p2B/8/6Q1/1Pp2N2/P1P2PPP/R4RK1 b - - 5 14,b7f3 g4g7,478,kingsideAttack mate mateIn1 middlegame oneMove
3r2k1/ppp2pp1/4p2p/4P3/P3R3/2P5/1qQ2PPP/6K1 w - - 0 21,c2b2 d8d1 e4e1 d1e1,482,backRankMate endgame mate mateIn2 queenRookEndgame short
2kr4/p1B1p2p/1p3bp1/2p5/4Q3/2P5/PP3PPP/R2r2K1 w - - 1 21,a1d1 d8d1 e4e1 d1e1,478,backRankMate endgame mate mateIn2 short
rn2k2r/1ppb1ppp/p3p3/2qPP3/Q1P5/3n1NP1/P2B1PBP/R4K1R w kq - 5 16,a4b3 c5f2,480,mate mateIn1 middlegame oneMove
3r1k2/3R1p1p/2R5/5N2/2p2nP1/8/7P/6K1 b - - 0 34,d8d7 c6c8 d7d8 c8d8,457,endgame master mate mateIn2 short
3r2k1/p2P1ppp/1pR5/4n3/8/8/5PPP/3nR1K1 b - - 0 29,d8d7 c6c8 d7d8 c8d8,464,backRankMate endgame mate mateIn2 short
1r3rk1/4pp1p/pqppn1p1/8/4P1PP/2N2P2/PPPQ4/2KR3R w - - 3 17,c1b1 b6b2,453,mate mateIn1 middlegame oneMove queensideAttack
6rk/3R1pqp/p4p2/4pP2/1B5P/3p1QrK/P7/8 w - - 2 40,f3g3 g7g3,469,endgame master mate mateIn1 oneMove
5rk1/p5p1/4pq1p/8/4Q3/4P3/PP3rPP/R4RK1 w - - 0 21,a1d1 f2f1 d1f1 f6f1,476,endgame mate mateIn2 short
8/8/8/6p1/1R6/r5k1/6P1/6K1 w - - 4 47,b4b5 a3a1 b5b1 a1b1,477,endgame mate mateIn2 rookEndgame short
3r4/2p2pk1/2p2p1p/p1N1b3/P7/2P4P/1P2RPP1/6K1 w - - 5 27,c5b7 d8d1 e2e1 d1e1,461,endgame mate mateIn2 short
rn1q1rk1/5pp1/b1p1pn1p/pp6/3P2N1/2PQP3/P1B2PPP/R1B2RK1 b - - 3 13,f6g4 d3h7,487,mate mateIn1 middlegame oneMove
2r3k1/2q2p2/6p1/4p1N1/7Q/2N3P1/4B1P1/1r1K3R w - - 2 31,c3b1 c7c1,452,mate mateIn1 middlegame oneMove
8/6pp/1n2pk2/3p4/r2P4/5NR1/5PPP/6K1 w - - 9 40,g3h3 a4a1 f3e1 a1e1,484,backRankMate endgame mate mateIn2 short
4r1k1/p3P3/1pR3P1/1pn1B3/8/8/P7/4b1K1 b - - 0 44,e8e7 c6c8 e7e8 c8e8,482,endgame mate mateIn2 short
1k2Q1r1/ppp2q2/7b/7p/2P1R1p1/1P6/P2r1PPP/4R1K1 b - - 3 28,g8e8 e4e8 f7e8 e1e8 d2d8 e8d8,474,backRankMate endgame long mate mateIn3
1r5k/R6p/4p1p1/8/8/P4p2/7P/2R4K w - - 2 38,c1c7 b8b1 c7c1 b1c1,452,endgame mate mateIn2 rookEndgame short
8/3k2p1/6B1/4R1pP/5p2/6B1/2r2PP1/6K1 w - - 0 45,g3h2 c2c1 e5e1 c1e1,468,backRankMate endgame mate mateIn2 short
3Q1rkb/r4p1p/5npP/2p1P3/5P2/p7/pPP3P1/K2R3R b - - 0 26,f8d8 d1d8 f6e8 d8e8,467,endgame kingsideAttack mate mateIn2 short
4r1k1/5pp1/1p5p/p1p5/P6n/1PP2p2/2B5/2KR4 b - - 3 33,e8e2 d1d8 e2e8 d8e8,487,endgame mate mateIn2 short
8/2PR4/6p1/7p/1P1p3P/2r2k2/8/5K2 w - - 5 45,d7d4 c3c1 d4d1 c1d1,486,endgame mate mateIn2 rookEndgame short
8/5p2/5kp1/6Pp/5P1P/4RK2/8/r7 b - - 0 42,f6f5 e3e5,497,endgame mate mateIn1 oneMove rookEndgame
r2Q2k1/p4r1p/1p2p1pB/2p1q3/4b3/2P5/PP3PP1/2KR3R b - - 3 25,a8d8 d1d8 f7f8 d8f8,479,kingsideAttack mate mateIn2 middlegame short
2kR3r/1p2r3/pB2b3/4p1p1/4P3/1P6/P1P2PpP/3R2K1 b - - 1 26,h8d8 d1d8,494,endgame master mate mateIn1 oneMove queensideAttack
3r2k1/5ppp/2R5/p7/8/P2Q3P/5PP1/6K1 b - - 0 31,d8d3 c6c8 d3d8 c8d8,497,backRankMate endgame mate mateIn2 rookEndgame short
r4rk1/p2qbppp/4b3/2p5/3pQ3/3B4/PPPN1PPP/R3R1K1 b - - 1 15,a8b8 e4h7,461,kingsideAttack mate mateIn1 middlegame oneMove
r3r1k1/1bpp1p1p/1pq2Bp1/p7/P1BpP3/2PP3P/1P1Q1PP1/R3R1K1 w - - 1 18,e4e5 c6g2,482,kingsideAttack mate mateIn1 middlegame oneMove
8/1N4pp/R3k3/1p2p3/3b2K1/1P1P2P1/1P5r/8 b - - 3 35,e6d5 a6d6,497,endgame master mate mateIn1 oneMove
5rk1/5ppp/2n1p3/1p1pP1N1/1PpP4/2P5/2Q3PP/qN4K1 b - - 2 27,h7h6 c2h7,527,endgame mate mateIn1 oneMove
1k6/1P6/1KP1p3/p7/P5p1/8/7p/8 b - - 3 49,h2h1q c6c7,503,advancedPawn endgame mate mateIn1 oneMove queenEndgame
6rk/1p1q1pp1/p2P3p/4p1R1/4P3/P7/1PP5/2KR4 b - - 0 25,h6g5 d1h1 d7h3 h1h3,544,endgame mate mateIn2 queenRookEndgame short
1n1r1bk1/p1q2pp1/1p5p/2p3NR/2P5/1P6/PBQ2PPP/6K1 b - - 1 25,c7d7 c2h7,512,mate mateIn1 middlegame oneMove
r4rk1/ppp2ppp/4p3/8/3nQ3/2KB4/PPP2q2/R1B5 b - - 1 18,d4c6 e4h7,508,kingsideAttack mate mateIn1 middlegame oneMove
rn3rk1/p1b1qpp1/1p2p2p/2ppP3/3P4/2PQ1NP1/PPB2PP1/2KR3R b - - 1 16,c5c4 d3h7,514,mate mateIn1 middlegame oneMove
1rb3k1/1p2n1pp/p6q/4N3/P3Pp2/2P4P/1P3RP1/3Q3K b - - 0 23,h6e6 d1d8,539,mate mateIn1 middlegame oneMove
2r3k1/1p3ppp/4b3/p2p4/3R2B1/1P2P3/P4PPP/6K1 w - - 0 22,g4e6 c8c1 d4d1 c1d1,527,backRankMate endgame mate mateIn2 short
1k2r3/pp3ppp/3Q4/8/6P1/P6P/1P3Pq1/1K1R4 b - - 2 27,b8a8 d6d8 e8d8 d1d8,515,backRankMate endgame mate mateIn2 sacrifice short
r5k1/p4p2/4rp1p/1p6/1P1qR3/8/P1Q2PPP/6K1 w - - 2 29,e4d4 e6e1,536,backRankMate endgame mate mateIn1 oneMove queenRookEndgame
1b2r1k1/1p2rppp/p1pq4/1P6/P2Pp3/4P2P/4QPP1/2RRN1K1 w - - 1 24,b5c6 d6h2 g1f1 h2h1,542,kingsideAttack mate mateIn2 middlegame short
6k1/p4ppp/Q3r2r/2RpN3/3P4/4P2P/P4PP1/6K1 b - - 0 27,e6a6 c5c8,520,endgame mate mateIn1 oneMove
6k1/p4ppp/4p3/2R5/7P/1P4PK/1q1r2r1/6R1 b - - 1 35,g2g1 c5c8 d2d8 c8d8,519,backRankMate endgame mate mateIn2 queenRookEndgame short
1Q4k1/4p2p/p3qnpB/2p5/P7/2P3PP/2P4K/8 b - - 1 31,g8f7 b8f8,547,endgame mate mateIn1 oneMove
1k6/1p6/pP1p1p2/P2B2p1/2P2n2/4RP2/2r5/7K b - - 2 30,f4d5 e3e8,545,endgame mate mateIn1 oneMove
5rk1/p1pr2p1/4pn1p/1Nb5/8/8/PPP2PPP/R1B1R1K1 w - - 8 16,e1e6 d7d1 e6e1 d1e1,517,kingsideAttack mate mateIn2 middlegame short
r2Qk1r1/pp3p2/4pB1p/1qb3p1/8/5N2/PPP2PPP/2KR3R b q - 4 16,a8d8 d1d8,548,mate mateIn1 middlegame oneMove
3r2k1/pppq1ppp/2n5/8/2P5/P3PQ2/1B3PPP/R5K1 w - - 0 20,f3g3 d7d1 a1d1 d8d1,518,backRankMate endgame mate mateIn2 sacrifice short
r1bq1rk1/4bppp/p7/1p6/3pQ3/P7/1PB2PPP/R1B2RK1 b - - 0 18,c8e6 e4h7,547,kingsideAttack mate mateIn1 middlegame oneMove
1k1r4/pp4p1/2R2p1p/q2r3P/P4B2/6P1/1PQ3P1/1Kn5 b - - 0 27,b8a8 c6c8 d8c8 c2c8,522,mate mateIn2 middlegame queensideAttack short
r1b1k2r/pppp1p2/8/2q5/2P3p1/2N5/PP2P1P1/R2Q1BKR w kq - 2 19,e2e3 c5e3,548,kingsideAttack mate mateIn1 middlegame oneMove
8/7k/5r2/6RK/7P/6P1/8/8 w - - 0 58,g3g4 f6h6,540,endgame mate mateIn1 oneMove rookEndgame
3Q4/5ppk/4q3/6p1/8/8/6PP/6K1 w - - 5 36,d8g5 e6e1,502,endgame mate mateIn1 oneMove queenEndgame
4r1k1/p1p1qppp/b1p5/3p4/7P/1P2rP2/P1PQB1P1/R2KR3 w - - 1 20,e2a6 e3e1 d2e1 e7e1,538,mate mateIn2 middlegame short
5k2/5p2/1p3Pp1/2p1p1Pp/7K/1P1P1Q1P/2P2R2/6qr b - - 1 43,g1e1 f3a8,547,endgame master mate mateIn1 oneMove
6k1/2R3p1/2p3Pp/p3P3/2p4K/4r3/P7/8 b - - 3 35,e3e5 c7c8 e5e8 c8e8,536,endgame mate mateIn2 rookEndgame short
6k1/R4p2/1p2pp1p/3p4/3P4/3bPN2/2rN1PPP/1R4K1 w - - 4 25,b1b6 c2c1 f3e1 c1e1 d2f1 e1f1,537,endgame long mate mateIn3
r4rk1/4bppp/b1q1p2B/2pp1P1n/P3P1Q1/3P1N2/1PP3PP/R4RK1 b - - 3 16,h5f6 g4g7,522,kingsideAttack mate mateIn1 middlegame oneMove
3r2kr/ppp1b1p1/7p/8/4N1b1/4B2N/1Pn2PPP/2R1K2R w K - 0 18,c1c2 d8d1,513,mate mateIn1 middlegame oneMove
6k1/6pp/5p2/p7/1q6/8/P1R2QPP/4r1K1 w - - 0 33,f2e1 b4e1,522,endgame hangingPiece mate mateIn1 oneMove
4r1k1/p4p1p/1p1p1Rp1/2p3P1/2bp3P/P7/1P6/K1Q1q3 w - - 2 36,c1e1 e8e1,543,endgame mate mateIn1 oneMove
6rk/7r/1p1p2n1/pPpPp1qp/P1P1Qp2/3B1P1P/5RP1/6RK b - - 0 40,g6h4 e4h7,505,kingsideAttack mate mateIn1 middlegame oneMove
7k/R5p1/p4r1p/1p6/8/1B2n3/PP3N1P/6K1 w - - 2 33,f2e4 f6f1,507,endgame mate mateIn1 oneMove
3rk1r1/1q3p2/pn2pP1p/1p2N1pQ/4R3/2P3B1/PP3PPP/R5K1 b - - 0 25,b7e4 h5f7,546,attackingF2F7 mate mateIn1 middlegame oneMove
5rk1/pppn1pp1/1b5p/1P4R1/2P5/1NPr1P2/P4P1P/R1B3K1 w - - 0 18,g5g2 d3d1,528,mate mateIn1 middlegame oneMove
3r2k1/1Rp2ppp/1bp5/8/4P2P/3P1BP1/2PK4/8 b - - 5 28,d8d7 b7b8 d7d8 b8d8,523,backRankMate endgame mate mateIn2 short
8/p2RP3/1p3Nk1/5pB1/5Pn1/2r5/P5PK/8 w - - 1 40,h2g1 c3c1 d7d1 c1d1,506,endgame mate mateIn2 short
5rk1/pR3pp1/2P2qb1/1p6/4p3/P3P1Pp/2Q1NP1P/6K1 w - - 1 29,e2f4 f6a1 c2b1 a1b1,536,endgame master mate mateIn2 short
2kr1b1r/pb3ppp/1p2p3/3q4/3n4/P2B1N2/1PP1QPPP/R1B2RK1 w - - 4 13,f3d4 d5g2,512,kingsideAttack mate mateIn1 oneMove opening
1r1q1rk1/4bppp/4b3/np1pP3/2pP4/2P2N1P/1PQ3P1/RBB2RK1 b - - 3 18,a5b3 c2h7,516,kingsideAttack mate mateIn1 middlegame oneMove
rnbk1b1r/ppppn2p/5p2/3Q3B/8/8/PPqP1PPP/RNB1R1K1 b - - 5 10,e7d5 e1e8,534,mate mateIn1 oneMove opening
5r1k/1p2R2p/p1p1Brp1/P1Pp3n/3P4/4KP1R/1P5P/8 b - - 7 35,h5f4 h3h7,538,endgame kingsideAttack master mate mateIn1 oneMove
6k1/2r3p1/pN3p1p/1p3P2/4P1n1/1P4P1/1P1R2P1/6K1 w - - 3 35,b6d5 c7c1 d2d1 c1d1,521,endgame mate mateIn2 short
6k1/5p1p/4p1p1/2Pb4/3P4/3QP2P/4BPPK/2q5 w - - 6 31,g2g3 c1h1,539,endgame mate mateIn1 oneMove
2r3k1/5ppp/4p3/2N5/6P1/1b2P2P/3B1P2/R5K1 b - - 0 29,c8c5 a1a8 c5c8 a8c8,518,backRankMate endgame mate mateIn2 short
1rk1r3/p1p3p1/b1P1p1Qp/2p5/3b4/8/P4PPP/4R1K1 b - - 7 34,b8b2 g6e8,545,endgame hangingPiece master mate mateIn1 oneMove
3q1k1r/r4pb1/p1nN3p/1p1QP2P/P1p5/3p2B1/1P3PP1/4RK1R b - - 0 25,c6e7 d5f7,538,master mate mateIn1 middlegame oneMove
b1kB3r/1q3pb1/3Q4/3p3p/7P/5P2/PPP1N3/1K5R w - - 1 30,d8a5 b7b2,537,mate mateIn1 middlegame oneMove queensideAttack
1r4k1/p2b1ppp/4p3/4P3/3B4/8/P1q2PPP/2R3K1 w - - 0 23,c1c2 b8b1 c2c1 b1c1,536,backRankMate endgame mate mateIn2 short
2r1r1k1/pp3pbp/4q1p1/2pnN3/8/2PP3P/PPQ2PPB/R3R1K1 w - - 1 18,e5c4 e6e1 a1e1 e8e1,544,backRankMate mate mateIn2 middlegame short
6k1/1p3pp1/4pnb1/1P1p2Np/1r6/6P1/4BPP1/2R3K1 b - - 3 30,b4b2 c1c8 f6e8 c8e8,546,endgame mate mateIn2 short
8/6p1/p3p1p1/1p1kPp2/1P1Pr1P1/5K1P/1P6/2R5 b - - 0 38,e4d4 c1c5,538,endgame mate mateIn1 oneMove rookEndgame
rn3rk1/1pb2p2/p1p2p1p/4q3/4P3/2N1QB2/PPP2PPP/3R1RK1 w - - 2 16,c3e2 e5h2,527,kingsideAttack mate mateIn1 middlegame oneMove
q5k1/5ppp/3b4/1p1p4/3P4/3QPB1P/1P3PP1/7K w - - 0 29,d3b5 a8a1 f3d1 a1d1 b5f1 d1f1,518,endgame long mate mateIn3
8/R4N2/5k2/7p/p5p1/r5K1/8/8 w - - 2 51,g3h4 a3h3,537,endgame mate mateIn1 oneMove
1r6/6R1/8/2PQ2b1/3P4/4P1Pk/5P2/6K1 w - - 4 57,d5g5 b8b1,532,endgame mate mateIn1 oneMove queenRookEndgame
5Qk1/5ppp/1pB2b2/p4q2/8/2P3PP/PP3P1K/4R3 b - - 0 25,g8f8 e1e8,522,endgame master mate mateIn1 oneMove
r1b1r1k1/p3q1bp/6p1/1pp5/3P4/2P2Q2/PP2BPPP/R1B1K2R w KQ - 0 17,f3a8 e7e2,519,mate mateIn1 middlegame oneMove
3r1rk1/6p1/2Qp1q1p/7b/4N3/1P6/P2P2PP/R3Rq1K w - - 0 26,e1f1 f6f1 a1f1 f8f1,521,backRankMate mate mateIn2 middlegame short
6k1/6p1/4R3/7Q/P7/6Pp/1r3P1P/6K1 w - - 2 32,a4a5 b2b1 h5d1 b1d1 e6e1 d1e1,509,endgame long mate mateIn3 queenRookEndgame
5rk1/R6p/3p1qp1/3P4/2PQ2b1/2N1p3/6PP/6K1 w - - 2 29,d4e3 f6f1,548,endgame master mate mateIn1 oneMove
r2q1rk1/3n1ppp/2pb1p2/p7/1p1P2b1/2PQB3/PPB1NPPP/2KR3R b - - 1 13,b4c3 d3h7,537,kingsideAttack mate mateIn1 middlegame oneMove
4r1k1/pp1brpp1/2p2n1p/3p3P/3P1qPn/2PQ1P1K/PPBN1R2/5R2 b - - 2 24,f6h5 d3h7 g8f8 h7h8,547,kingsideAttack mate mateIn2 middlegame short
k2Qr3/pp4p1/7p/8/4PP2/6q1/PP4P1/1K1RR3 b - - 3 29,e8d8 d1d8,529,backRankMate endgame mate mateIn1 oneMove queenRookEndgame
r2qkb1r/2p2ppp/p4n2/8/4P3/P1P5/5PPP/RQB1KbNR w KQkq - 0 13,e1f1 d8d1,505,mate mateIn1 middlegame oneMove
r2q1rk1/1p2bpp1/p1ppbn1p/8/2PQN3/1P2P1P1/PB3PBP/R4RK1 b - - 5 13,f6e4 d4g7,527,kingsideAttack mate mateIn1 middlegame oneMove
1k1rr3/p1p5/1n3p1Q/8/3P4/2P5/P2N1PPP/1q4K1 w - - 0 27,d2b1 e8e1,514,backRankMate endgame mate mateIn1 oneMove
4r1k1/5pp1/3Bqn1p/p3P3/1p6/1P3Q2/P1P2PPP/3R2K1 w - - 1 32,e5f6 e6e1 d1e1 e8e1,518,backRankMate endgame mate mateIn2 sacrifice short
r4rk1/p1q1npp1/3p3p/bp1P1b2/1PNQ4/P3B3/2P2PPP/2KR1B1R w - - 0 17,c4a5 c7c2,525,mate mateIn1 middlegame oneMove queensideAttack
4q1k1/ppb1rpp1/5n2/2P3B1/1P6/P1Q2n1P/B4PP1/3R2K1 w - - 0 24,c3f3 e7e1 d1e1 e8e1,526,kingsideAttack mate mateIn2 middlegame short
r3r1k1/pb4bp/1p3pp1/2pqp3/8/P2PBN1P/1PP1QPP1/R3R1K1 w - - 2 18,f3d2 d5g2,541,kingsideAttack mate mateIn1 middlegame oneMove
1k5r/1p3pp1/p6q/3pP3/1b1Pb1PB/1B5P/PP3Q2/K1R5 w - - 1 30,h4g3 h6c1,507,hangingPiece master mate mateIn1 middlegame oneMove
r1b1r1k1/ppp2p1p/2p2np1/2b1q3/8/2NPBQ2/PPP2PPP/R3R1K1 w - - 0 13,e3c5 e5e1 a1e1 e8e1,503,backRankMate mate mateIn2 middlegame short
8/1p4kp/p1bN1p2/2P1p3/1P6/P5PP/4q1PK/2Q5 w - - 5 36,a3a4 e2g2,542,endgame mate mateIn1 oneMove
8/ppp2k1p/6p1/8/P7/1P2b3/2P2rPP/4R2K w - - 0 30,e1e3 f2f1,527,backRankMate endgame mate mateIn1 oneMove rookEndgame
rn1qr1kb/p1p1np1p/bp4pB/3pN3/3P1Q2/2NB4/PPP2PPP/R4RK1 b - - 7 13,a6d3 f4f7,532,kingsideAttack mate mateIn1 middlegame oneMove
rb3rk1/1pq2ppp/p1n1pn2/2Pp4/3P4/2N1Bb1P/PP2BPP1/2RQ1RK1 w - - 0 15,e2f3 c7h2,536,mate mateIn1 oneMove opening
2kr1bnr/pppqpppp/2n5/1Q5b/8/1PN2P2/PBPP2PP/R3KBNR w KQ - 4 9,b5h5 d7d2,505,master mate mateIn1 oneMove opening
r4rk1/p3b1pp/b3Pp2/2pq3P/6Q1/1P6/PB1P1PP1/R3K2R b KQ - 1 21,f6f5 g4g7,515,kingsideAttack mate mateIn1 middlegame oneMove
3R4/1p1R3p/4p1pk/p4p2/4p3/8/1r3PPP/6K1 w - - 3 36,d8h8 b2b1 d7d1 b1d1,518,backRankMate endgame mate mateIn2 rookEndgame short
r3k2r/pp1n1pp1/3qp1p1/2pp4/3P4/2P1P3/PP3PPP/RN1Q1RK1 w kq - 0 12,b1d2 d6h2,545,kingsideAttack mate mateIn1 middlegame oneMove
r4rk1/2q2ppp/2n1p3/p2pP1Pn/Pp3P2/2P4Q/1PBN3P/R1B3K1 b - - 2 18,h5f4 h3h7,515,kingsideAttack mate mateIn1 middlegame oneMove
5rk1/r3ppbp/pN4p1/1pPR4/1P2P3/4PnBq/P3QP1P/5R1K w - - 1 24,e2f3 h3f1,533,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove
8/p1pkb1r1/2p5/8/2PPR1p1/4NpP1/P3nP1r/4R2K w - - 0 31,h1h2 g7h7,506,endgame mate mateIn1 oneMove
6k1/R2n3p/2pr4/3p1qPB/3P4/1P3p1P/3QpP2/4K3 w - - 1 41,h5g4 f5b1 d2c1 b1c1,514,endgame mate mateIn2 short
r1b2knr/pp1n1p1p/1q1N2p1/3Q4/2P2P2/1P5P/P4PP1/bN2KB1R b K - 1 12,g8f6 d5f7,506,mate mateIn1 middlegame oneMove
r1b1k1nr/5pp1/p2bp2p/1p2Q3/7B/8/PPP3PP/2KR1B1R b kq - 0 17,d6e5 d1d8,523,mate mateIn1 middlegame oneMove
6k1/2r2ppp/4pb2/3n4/5P2/2pK2P1/7P/1R6 b - - 2 36,c3c2 b1b8 c7c8 b8c8 f6d8 c8d8,532,backRankMate endgame long mate mateIn3
4q1k1/1pp1rp1p/1r1p2p1/p1nP4/2Pb2B1/1P2P3/P1Q2PPP/1R2R1K1 w - - 0 21,e3d4 e7e1 b1e1 e8e1,522,kingsideAttack mate mateIn2 middlegame short
r5k1/p4ppp/8/7b/8/1P1R1P2/P4qPP/3Q3K b - - 0 27,h5g6 d3d8 a8d8 d1d8,549,backRankMate endgame mate mateIn2 short
r4rk1/1b2bppp/p1q5/1p2P3/3p4/P3P2P/1PB1QPP1/R1B2RK1 w - - 0 18,e3d4 c6g2,530,kingsideAttack mate mateIn1 middlegame oneMove
r2q1rk1/pp2nppp/1b6/n3p3/2bNQ1P1/2N4P/PPB2P2/R1B1R1K1 b - - 1 18,b6d4 e4h7,543,kingsideAttack mate mateIn1 middlegame oneMove
8/5pk1/4p1pp/4P3/8/3p4/2r2PPP/3R2K1 w - - 0 33,d1d3 c2c1 d3d1 c1d1,515,backRankMate endgame mate mateIn2 rookEndgame short
1nk1r3/p1p3p1/1p1pq2p/PP6/3Br3/2P2R2/5PPP/R2Q2K1 w - - 1 25,a5b6 e4e1 d1e1 e6e1 a1e1 e8e1,513,backRankMate fork long mate mateIn3 middlegame
4q3/p1p3k1/2pp3p/b4b2/3PrQ2/1N4Pp/PP3P1P/R4K2 w - - 0 26,f4f5 e4e1 a1e1 e8e1,549,endgame mate mateIn2 short
6k1/p4ppb/4p2b/4P1qP/4P3/1p1B4/1P2Q3/1Kr3R1 w - - 0 36,g1c1 g5c1,521,endgame mate mateIn1 oneMove
r1bq1k1r/pp1pbNpp/2n4n/4pp1Q/2B1P3/2N5/PP3PPP/R1B2RK1 b - - 7 10,h6f7 h5f7,543,mate mateIn1 oneMove opening
r4r1k/3q1pb1/7p/p2P1Nn1/1pB1R1Qp/7P/PP3PP1/R5K1 b - - 0 27,g5e4 g4g7,546,kingsideAttack master mate mateIn1 middlegame oneMove
r1b1kb1r/ppp1qppp/8/2n1P1B1/4p3/5N2/PPP2PPP/RN1QR1K1 b kq - 1 9,e7e6 d1d8,533,mate mateIn1 oneMove opening
6k1/p4ppp/1p6/3R4/3pr3/2P3K1/PP6/8 b - - 1 36,d4c3 d5d8 e4e8 d8e8,507,backRankMate endgame mate mateIn2 rookEndgame short
1r4k1/2p1bp2/3p2p1/p6R/q2BP2P/P2Q1P2/2PK4/1r4R1 b - - 2 27,b1g1 h5h8,536,mate mateIn1 middlegame oneMove
r1bq1rk1/4bppp/p1n1pn2/1p2P1N1/2p5/1B5Q/PPPP2PP/RNB1R1K1 b - - 0 14,f6d7 h3h7,543,kingsideAttack mate mateIn1 middlegame oneMove
r3k2r/2qp1pp1/pp2p3/4P1Bp/P2nQP2/1B5P/1PP2bP1/R6K b kq - 0 18,d4b3 e4a8 c7b8 a8b8,549,hangingPiece mate mateIn2 middlegame short
2r4k/Qp3ppp/8/3q4/8/5P2/PP4PP/2KR4 w - - 1 26,c1b1 d5d1,545,endgame hangingPiece mate mateIn1 oneMove
r1b2rk1/ppppnpp1/3b3p/3P2Nq/8/7P/PPQ1BPP1/R1B2RK1 b - - 1 15,h5h4 c2h7,521,mate mateIn1 oneMove opening
Q6k/p2pr1pp/8/1p6/8/5P2/PPq4P/3R3K b - - 1 28,e7e8 a8e8,537,backRankMate endgame hangingPiece mate mateIn1 oneMove
r4rk1/ppp1q1bp/2npP3/2N1p3/6B1/3Q2P1/PPP2PP1/R3K2R b KQ - 4 18,d6c5 d3h7,540,kingsideAttack mate mateIn1 middlegame oneMove
1kr5/7R/p7/1p1N3p/4P1n1/8/PP4PP/6K1 w - - 7 31,h7h5 c8c1,523,endgame mate mateIn1 oneMove
5r2/5pk1/p3p1p1/1p6/4B3/2r2R2/Pq4PP/1R5K w - - 0 28,b1b2 c3c1 f3f1 c1f1,538,backRankMate endgame mate mateIn2 short
1br1k2r/ppq2pp1/2p1pnp1/8/N1PP4/1P5P/P1Q1BPP1/2R2RK1 w k - 5 18,a4c3 c7h2,511,mate mateIn1 middlegame oneMove
rn2k2r/ppq2pp1/2p4p/8/3bP1n1/P1N2N2/1PP1Q1PP/R4RK1 w kq - 0 15,f3d4 c7h2,507,kingsideAttack mate mateIn1 middlegame oneMove
rnb2rk1/ppp3pp/4pq2/2Pp4/3Pp3/4P3/PP1N1PPP/R2QKB1R w KQ - 1 11,f1e2 f6f2,512,attackingF2F7 mate mateIn1 middlegame oneMove
4k2r/pb1nppb1/2rp2p1/5PPp/2pPP2P/2p1B1NN/q1P2Q2/KR3B1R w k - 0 22,a1a2 c6a6,516,mate mateIn1 middlegame oneMove
4r1k1/ppR3p1/6pp/8/PP2Nn2/B4P2/3r3P/7K w - - 0 30,e4d2 e8e1 d2f1 e1f1,508,endgame mate mateIn2 short
r1b1k3/3ppp1r/2p1n1p1/8/2P1Q3/P1N2BP1/1P3P1q/R3RK2 b q - 8 25,e6g5 e4e7,548,mate mateIn1 middlegame oneMove
5rk1/1p1r1pp1/p7/4R3/3p1Q2/7R/PP3PPP/1q4K1 w - - 7 31,e5e1 b1e1,506,endgame hangingPiece mate mateIn1 oneMove
1k6/pp2R2p/1b4p1/3N4/8/P6K/1P3rr1/8 b - - 3 35,f2b2 e7e8 b6d8 e8d8,510,endgame mate mateIn2 short
2r3k1/1p1R1ppp/p1n2P2/8/8/4r3/PPP3PP/2KR4 b - - 1 27,c6e5 d7d8 c8d8 d1d8,544,endgame mate mateIn2 short
3q1Q1k/1p4pp/1p2r3/2ppP3/r2P4/P3P2P/1P4P1/R4RK1 b - - 2 24,d8f8 f1f8,545,backRankMate endgame mate mateIn1 oneMove
1k6/pbpn4/1p2R1p1/8/8/2r4P/P4PP1/3R2K1 b - - 0 27,b8c8 e6e8,531,endgame mate mateIn1 oneMove
r2q1rk1/5ppp/4p3/pPb3N1/3p1PP1/1P1Qn2P/1BP4K/R3R3 b - - 1 20,d8c7 d3h7,522,kingsideAttack mate mateIn1 middlegame oneMove
6k1/p4p1p/4p1p1/2p1n3/2q1BB2/P1N5/1r4PP/1R3R1K w - - 0 27,b1b2 c4f1,516,hangingPiece mate mateIn1 middlegame oneMove
