fen,moves,rating,themes
3q1Qk1/1b2r1pp/2p1r3/p1Pp4/1P6/P2B2P1/5R1P/2K2R2 b - - 3 30,d8f8 f2f8,399,mate mateIn1 middlegame oneMove
3r2k1/1p1P2p1/p2r4/5pN1/7P/8/PP2R3/6K1 b - - 0 34,d8d7 e2e8,399,endgame mate mateIn1 oneMove
8/3b2k1/1r5N/8/8/8/5PPP/2R3K1 w - - 1 46,c1c7 b6b1 c7c1 b1c1,399,backRankMate endgame mate mateIn2 short
r4rk1/6p1/p1pbp2p/1p5R/8/1Q6/PP1B2PP/4Rq1K w - - 2 23,e1f1 f8f1,399,mate mateIn1 middlegame oneMove
2r3k1/Qp2ppbp/6p1/6P1/3Pp2P/4P3/PP3P1B/K1q3R1 w - - 5 26,g1c1 c8c1,399,backRankMate endgame mate mateIn1 oneMove
1q3Q1k/6p1/6Pp/8/5RP1/p7/7K/8 b - - 4 41,b8f8 f4f8,399,endgame mate mateIn1 oneMove
1r2r2k/4Pp1p/q2p2p1/p1p5/P3P3/RNP1bR2/1PQ3PP/7K w - - 1 22,f3e3 a6f1,399,mate mateIn1 middlegame oneMove
r4rk1/pppnQ1pp/8/8/8/8/PPP3PP/RN2Rq1K w - - 2 17,e1f1 f8f1,399,backRankMate mate mateIn1 middlegame oneMove
r2q1rk1/p3bppp/1p6/2n1p3/3N2R1/2P5/PP3PPP/R1BQ2K1 w - - 0 16,d4f5 d8d1,399,backRankMate hangingPiece master mate mateIn1 middlegame oneMove
rnb1k2r/pp3p2/2p1pn2/6B1/2p1Q3/2P5/P4PPP/3RKB1R b Kkq - 0 13,f6e4 d1d8,399,mate mateIn1 middlegame oneMove
2Q4k/pp1b2pp/6r1/4p2q/4P2n/1PNP2B1/P1P2RPP/R5K1 b - - 0 23,d7c8 f2f8,399,backRankMate mate mateIn1 middlegame oneMove
4rQ1k/2pp2pp/p7/1p6/4q3/2P3B1/PP4PP/5R1K b - - 2 24,e8f8 f1f8,399,backRankMate endgame mate mateIn1 oneMove
2r3k1/1b3pp1/p1q1p2p/1p6/1PpP4/P3P3/N1Q2PPP/2R3K1 w - - 2 25,a2c3 c6g2,399,endgame kingsideAttack master mate mateIn1 oneMove
8/6kp/4R1p1/pP1r1p2/8/8/P5PP/7K w - - 0 34,b5b6 d5d1 e6e1 d1e1,399,backRankMate endgame mate mateIn2 rookEndgame short
5rk1/1p4pp/p7/2Rp2p1/1P1Pp3/P3P3/6PP/2Q2q1K w - - 2 29,c1f1 f8f1,399,backRankMate endgame mate mateIn1 oneMove
2r3k1/p4ppp/2N1p3/3p4/8/P3r3/1R4PP/6K1 b - - 1 25,c8c6 b2b8 c6c8 b8c8,399,backRankMate endgame mate mateIn2 rookEndgame short
2k1Q2r/pbpn4/1p1p4/3P4/8/6Pq/5B1P/4R1K1 b - - 4 29,h8e8 e1e8,399,backRankMate endgame mate mateIn1 oneMove
6k1/5ppp/4p3/R3P3/5P2/1p3KP1/1Pr4P/8 b - - 2 43,c2b2 a5a8,399,backRankMate endgame mate mateIn1 oneMove rookEndgame
1r3k2/3r1pp1/7p/1PpPR3/6P1/5K2/2P3P1/4R3 b - - 0 34,b8b5 e5e8,399,endgame mate mateIn1 oneMove rookEndgame
r4r2/ppp1k1pp/2n1N3/8/4Q3/2P5/PP3RPP/RNBq2K1 w - - 1 15,f2f1 d1f1,399,kingsideAttack mate mateIn1 middlegame oneMove
3rR1k1/5ppp/5b1n/1Q6/3p4/1P4P1/P4P1P/6K1 b - - 1 32,d8e8 b5e8,399,endgame mate mateIn1 oneMove
3r3k/1pp3pp/1b6/pPn5/2BN4/K1P1r1P1/PBbN3P/5R2 b - - 1 27,d8d4 f1f8,399,backRankMate mate mateIn1 middlegame oneMove
2Q3k1/pb3ppp/1p6/n2P2q1/8/4RBP1/PB3P1P/6K1 b - - 0 25,b7c8 e3e8,399,endgame master masterVsMaster mate mateIn1 oneMove
6k1/1pr3pp/1p6/2pR2N1/8/n1P4P/5PP1/6K1 b - - 2 30,h7h6 d5d8,399,endgame mate mateIn1 oneMove
r4Q1k/1p4p1/2p4p/p2pP1q1/3P4/P7/1P6/1B2KR2 b - - 7 38,a8f8 f1f8,399,endgame mate mateIn1 oneMove
8/p5k1/1p4r1/2p4R/2Pp1Q1P/3P2p1/PP4PK/4q3 w - - 0 47,h2h3 e1h1,399,endgame master mate mateIn1 oneMove
8/8/1p1rr3/p1p3p1/8/PPkR1P1P/2PR2P1/2K5 b - - 0 43,d6d3 d2d3,399,endgame mate mateIn1 oneMove rookEndgame
5k2/1r3pp1/2RP1n2/4PK2/5P2/8/8/8 b - - 0 44,f6d7 c6c8,399,endgame mate mateIn1 oneMove
r3Q1k1/5ppp/2p5/1p6/p1b5/5P2/Pq4PP/R3R2K b - - 3 27,a8e8 e1e8,399,backRankMate endgame master mate mateIn1 oneMove
2k1R2r/pp3rbp/6p1/2pp4/B2P1B2/2P5/P4PPP/4R1K1 b - - 3 27,h8e8 e1e8,399,endgame mate mateIn1 oneMove
r5k1/5pp1/p3p2p/1p6/2n1R3/2P5/P1P2PPP/R1Br2K1 w - - 1 24,e4e1 d1e1,399,backRankMate endgame hangingPiece mate mateIn1 oneMove
r4r1k/ppQ4p/6b1/4p3/4p2P/1P6/P1RPN3/3K1qR1 w - - 2 26,g1f1 f8f1,399,backRankMate mate mateIn1 middlegame oneMove
5k1K/6N1/7P/4b3/8/8/8/8 w - - 15 75,h6h7 e5g7,399,endgame mate mateIn1 oneMove
r1b1qrk1/ppbn1ppp/2p1pB2/2Pp4/3P4/2NQP3/PPB2PPP/R3K2R b KQ - 2 12,g7f6 d3h7,399,kingsideAttack mate mateIn1 middlegame oneMove
3rkr2/2R1Q1pp/p4b2/1p1p4/8/8/P4PPP/4R1K1 b - - 0 25,f6e7 e1e7,399,endgame master mate mateIn1 oneMove
r1b3k1/pp3p2/2pb1pp1/3pr3/3q4/2N2Q1P/PPP2PP1/3RR1K1 w - - 0 17,d1d4 e5e1,399,hangingPiece kingsideAttack master mate mateIn1 middlegame oneMove
6k1/7p/p3RKp1/P7/1p5P/5P2/6rr/R7 b - - 5 37,h2h4 e6e8,399,endgame master masterVsMaster mate mateIn1 oneMove rookEndgame
1kQ5/ppp5/2n5/8/4PpR1/2KPqP1B/1PP5/8 b - - 0 38,b8c8 g4g8,399,doubleCheck endgame mate mateIn1 oneMove
2rq1rk1/1b2bppp/p1N1p3/2p5/1P6/P1Q1P3/1B3PPP/R4RK1 b - - 1 16,b7c6 c3g7,399,kingsideAttack mate mateIn1 middlegame oneMove
r2r2k1/4pp1p/6p1/8/p1p1q3/PpP1P3/4RPPP/1Q4K1 w - - 0 26,b1e4 d8d1 e2e1 d1e1,399,backRankMate endgame mate mateIn2 queenRookEndgame short
r3k2r/pp2bppp/2q5/3p4/4n3/2N2P2/PPP1Q1PP/R1B1R1K1 b kq - 0 14,e4c3 e2e7,399,mate mateIn1 middlegame oneMove
r2qk2r/pbpp1p1p/1p2p1p1/4n3/2P1PQ1P/2NB4/PP4P1/R4R1K b kq - 1 16,e5d3 f4f7,399,attackingF2F7 mate mateIn1 middlegame oneMove
5rk1/1pp2ppp/5r2/pN6/2PPQ3/PP6/6PP/R4q1K w - - 1 23,a1f1 f6f1,399,backRankMate endgame mate mateIn1 oneMove
2r1k2r/1p2bp1p/p3bp2/4pN1N/1P1pP3/5Q1P/1P3PP1/K1qR1B1R w k - 2 21,d1c1 c8c1,399,mate mateIn1 middlegame oneMove
r4rk1/p1pn3p/1p1p2pb/7n/1P1BP3/6P1/PQP1N2P/RN1K1q1R w - - 1 19,h1f1 f8f1,399,mate mateIn1 middlegame oneMove
rn2r1k1/p2nq1pp/1p1p4/2p2Q2/8/2N2P2/PPP1BPPP/3RK2R w K - 0 14,c3d5 e7e2,399,mate mateIn1 middlegame oneMove
6k1/6bp/4p1P1/4p3/qp4P1/1p2BP2/1P1Q4/1Kr4R w - - 0 29,b1c1 a4a1,399,endgame master mate mateIn1 oneMove
3r1rk1/1pp3p1/p1pb3p/8/3PQ3/1P5P/P5P1/RNBR1q1K w - - 2 21,d1f1 f8f1,399,kingsideAttack mate mateIn1 middlegame oneMove
r3r1k1/p1p3pp/2p5/7Q/1P6/P1P2P2/4R1PP/4q2K w - - 0 24,e2e1 e8e1,399,backRankMate endgame mate mateIn1 oneMove queenRookEndgame
2r1n2k/ppr4p/6R1/4Pp2/5P2/4pB1Q/PP5P/K1q4R w - - 2 33,h1c1 c7c1,399,backRankMate mate mateIn1 middlegame oneMove
r2q1rk1/p1p2ppp/1p2p1n1/4P3/3P4/1P1Q1P2/P1B2P1P/2R2RK1 b - - 2 18,g6f4 d3h7,399,kingsideAttack mate mateIn1 middlegame oneMove
r2qkb1r/pQ3pp1/5p1p/5b2/8/6P1/PPn1PPBP/R1B1K1NR w KQkq - 1 11,e1f1 d8d1,399,mate mateIn1 oneMove opening
r3k3/5ppp/1pN1p3/2n5/2P5/5P2/PP3KPP/3R4 b - - 2 25,a8a2 d1d8,399,endgame master mate mateIn1 oneMove
r1R3k1/5ppp/1p6/3n4/3P4/5P2/5PKP/2R5 b - - 0 32,a8c8 c1c8,399,backRankMate endgame mate mateIn1 oneMove
6rk/2n1q2Q/4p3/1pppP3/p4PP1/2P1P3/PP2K2R/7R b - - 0 27,e7h7 h2h7,399,endgame mate mateIn1 oneMove
